"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","15.981 (±2.497)","[15.492, 16.47]",-16.019,-50.059,16.211,16.019
"IPSW","31.164 (±6.813)","[29.829, 32.499]",-0.836,-2.612,6.831,5.432
"IPSW.norm","31.615 (±5.046)","[30.626, 32.604]",-0.385,-1.203,5.036,4.021
"IPSW.strat.n.2","26.213 (±1.899)","[25.841, 26.585]",-5.787,-18.084,6.088,5.794
"IPSW.strat.n.3","28.685 (±1.939)","[28.305, 29.065]",-3.315,-10.359,3.836,3.368
"IPSW.strat.n.4","29.897 (±1.537)","[29.596, 30.198]",-2.103,-6.572,2.6,2.234
"IPSW.strat.n.5","30.508 (±1.433)","[30.227, 30.789]",-1.492,-4.663,2.064,1.727
"IPSW.strat.n.6","30.854 (±1.448)","[30.57, 31.138]",-1.146,-3.581,1.841,1.509
"IPSW.strat.n.7","31.071 (±1.346)","[30.807, 31.335]",-0.929,-2.903,1.63,1.349
"IPSW.strat.n.8","31.338 (±1.581)","[31.028, 31.648]",-0.662,-2.069,1.706,1.416
"IPSW.strat.n.9","31.441 (±1.295)","[31.187, 31.695]",-0.559,-1.747,1.405,1.167
"IPSW.strat.n.10","31.471 (±1.415)","[31.194, 31.748]",-0.529,-1.653,1.504,1.229
"G.formula","31.985 (±0.336)","[31.919, 32.051]",-0.015,-0.047,0.334,0.275
