"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","7.069 (±1.656)","[6.282, 7.856]",-24.931,-77.909,24.983,24.931
"IPSW","12.181 (±1.972)","[11.244, 13.118]",-19.819,-61.934,19.911,19.819
"IPSW.norm","20.442 (±2.95)","[19.04, 21.844]",-11.558,-36.119,11.907,11.558
"IPSW.strat.n.2","22.666 (±2.956)","[21.261, 24.071]",-9.334,-29.169,9.764,9.334
"IPSW.strat.n.3","20.476 (±6.844)","[17.223, 23.729]",-11.524,-36.013,13.3,11.524
"IPSW.strat.n.4","17.806 (±4.1)","[15.857, 19.755]",-14.194,-44.356,14.741,14.194
"IPSW.strat.n.5","18.387 (±1.633)","[17.611, 19.163]",-13.613,-42.541,13.705,13.613
"IPSW.strat.n.6","18.462 (±3.451)","[16.821, 20.103]",-13.538,-42.306,13.946,13.538
"IPSW.strat.n.7","18.11 (±3.291)","[16.546, 19.674]",-13.89,-43.406,14.252,13.89
"IPSW.strat.n.8","18.124 (±2.168)","[17.093, 19.155]",-13.876,-43.363,14.034,13.876
"IPSW.strat.n.9","17.124 (±2.495)","[15.938, 18.31]",-14.876,-46.488,15.071,14.876
"IPSW.strat.n.10","17.407 (±2.423)","[16.255, 18.559]",-14.593,-45.603,14.781,14.593
"G.formula","32.008 (±0.271)","[31.879, 32.137]",0.008,0.025,0.263,0.192
