"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","15.694 (±3.057)","[15.095, 16.293]",-16.306,-50.956,16.587,16.306
"IPSW","32.52 (±9.354)","[30.687, 34.353]",0.52,1.625,9.322,6.841
"IPSW.norm","32.692 (±6.89)","[31.342, 34.042]",0.692,2.163,6.891,4.996
"IPSW.strat.n.2","26.057 (±2.241)","[25.618, 26.496]",-5.943,-18.572,6.348,5.953
"IPSW.strat.n.3","28.685 (±1.821)","[28.328, 29.042]",-3.315,-10.359,3.778,3.347
"IPSW.strat.n.4","29.915 (±1.916)","[29.539, 30.291]",-2.085,-6.516,2.825,2.326
"IPSW.strat.n.5","30.508 (±1.734)","[30.168, 30.848]",-1.492,-4.663,2.281,1.822
"IPSW.strat.n.6","30.888 (±1.744)","[30.546, 31.23]",-1.112,-3.475,2.061,1.624
"IPSW.strat.n.7","31.173 (±1.638)","[30.852, 31.494]",-0.827,-2.584,1.828,1.434
"IPSW.strat.n.8","31.221 (±1.727)","[30.883, 31.559]",-0.779,-2.434,1.887,1.521
"IPSW.strat.n.9","31.272 (±1.666)","[30.945, 31.599]",-0.728,-2.275,1.811,1.472
"IPSW.strat.n.10","31.38 (±1.677)","[31.051, 31.709]",-0.62,-1.938,1.78,1.414
"G.formula","31.964 (±0.334)","[31.899, 32.029]",-0.036,-0.113,0.334,0.264
