"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","8.464 (±3.492)","[7.78, 9.148]",-23.536,-73.55,23.791,23.536
"IPSW","30.989 (±8.496)","[29.324, 32.654]",-1.011,-3.159,8.514,6.599
"IPSW.norm","31.133 (±7.199)","[29.722, 32.544]",-0.867,-2.709,7.215,5.674
"IPSW.strat.n.2","22.874 (±3.836)","[22.122, 23.626]",-9.126,-28.519,9.892,9.126
"IPSW.strat.n.3","27.015 (±3.99)","[26.233, 27.797]",-4.985,-15.578,6.373,5.217
"IPSW.strat.n.4","28.609 (±4.058)","[27.814, 29.404]",-3.391,-10.597,5.273,4.344
"IPSW.strat.n.5","29.371 (±4.12)","[28.563, 30.179]",-2.629,-8.216,4.87,3.976
"IPSW.strat.n.6","30.045 (±4.266)","[29.209, 30.881]",-1.955,-6.109,4.674,3.702
"IPSW.strat.n.7","30.257 (±4.263)","[29.421, 31.093]",-1.743,-5.447,4.586,3.57
"IPSW.strat.n.8","30.282 (±4.283)","[29.443, 31.121]",-1.718,-5.369,4.595,3.691
"IPSW.strat.n.9","30.615 (±4.248)","[29.782, 31.448]",-1.385,-4.328,4.448,3.556
"IPSW.strat.n.10","30.841 (±4.345)","[29.989, 31.693]",-1.159,-3.622,4.476,3.693
"G.formula","24.557 (±3.81)","[23.81, 25.304]",-7.443,-23.259,8.353,7.443
