"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","8.971 (±3.296)","[8.325, 9.617]",-23.029,-71.966,23.262,23.029
"IPSW","33.244 (±10.68)","[31.151, 35.337]",1.244,3.887,10.699,7.84
"IPSW.norm","32.704 (±8.711)","[30.997, 34.411]",0.704,2.2,8.696,6.594
"IPSW.strat.n.2","23.159 (±3.776)","[22.419, 23.899]",-8.841,-27.628,9.606,8.841
"IPSW.strat.n.3","26.7 (±4.169)","[25.883, 27.517]",-5.3,-16.563,6.73,5.644
"IPSW.strat.n.4","28.37 (±4.176)","[27.552, 29.188]",-3.63,-11.344,5.518,4.515
"IPSW.strat.n.5","29.329 (±4.151)","[28.515, 30.143]",-2.671,-8.347,4.919,3.989
"IPSW.strat.n.6","29.862 (±4.27)","[29.025, 30.699]",-2.138,-6.681,4.756,3.812
"IPSW.strat.n.7","30.173 (±4.248)","[29.34, 31.006]",-1.827,-5.709,4.604,3.578
"IPSW.strat.n.8","30.461 (±4.203)","[29.637, 31.285]",-1.539,-4.809,4.456,3.407
"IPSW.strat.n.9","30.729 (±4.311)","[29.884, 31.574]",-1.271,-3.972,4.474,3.445
"IPSW.strat.n.10","31.163 (±4.685)","[30.245, 32.081]",-0.837,-2.616,4.736,3.636
"G.formula","24.85 (±3.499)","[24.164, 25.536]",-7.15,-22.344,7.953,7.182
