"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","16.376 (±2.678)","[15.851, 16.901]",-15.624,-48.825,15.85,15.624
"IPSW","32.078 (±8.405)","[30.431, 33.725]",0.078,0.244,8.363,6.614
"IPSW.norm","32.154 (±6.258)","[30.927, 33.381]",0.154,0.481,6.229,5.096
"IPSW.strat.n.2","26.185 (±2.242)","[25.746, 26.624]",-5.815,-18.172,6.229,5.856
"IPSW.strat.n.3","28.958 (±1.942)","[28.577, 29.339]",-3.042,-9.506,3.604,3.106
"IPSW.strat.n.4","29.916 (±1.786)","[29.566, 30.266]",-2.084,-6.512,2.739,2.259
"IPSW.strat.n.5","30.421 (±1.801)","[30.068, 30.774]",-1.579,-4.934,2.388,1.934
"IPSW.strat.n.6","30.806 (±1.685)","[30.476, 31.136]",-1.194,-3.731,2.058,1.648
"IPSW.strat.n.7","30.944 (±1.727)","[30.606, 31.282]",-1.056,-3.3,2.017,1.581
"IPSW.strat.n.8","31.088 (±1.754)","[30.744, 31.432]",-0.912,-2.85,1.97,1.516
"IPSW.strat.n.9","31.193 (±2.02)","[30.797, 31.589]",-0.807,-2.522,2.166,1.684
"IPSW.strat.n.10","31.192 (±1.821)","[30.835, 31.549]",-0.808,-2.525,1.984,1.519
"G.formula","31.976 (±0.34)","[31.909, 32.043]",-0.024,-0.075,0.339,0.27
