Naive.OnlyRCT,IPSW,IPSW.norm,G.formula
10.01960784,16.74316983,14.33299651,11.88983494
11.07142857,11.64013988,13.30610454,11.88983494
9.904761905,9.421466244,11.78138536,11.88983494
11.31764706,15.86613623,12.20555957,11.88983494
12.28235294,13.39046429,13.09332095,12.8741046
10.16194332,7.040681498,12.17122348,12.45880897
10.62745098,15.59572758,13.41715731,11.88983494
12.11111111,14.40802144,13.23562258,11.88983494
11.25101215,13.13423795,13.24741233,11.88983494
10.81960784,12.03670528,12.08445692,12.8741046
11.32941176,14.39665965,12.68611666,11.88983494
11.26363636,10.74980525,12.51209555,12
10.9372549,14.29131923,12.8857545,15.28179811
11.36666667,11.90137795,14.16030502,11.88983494
10.71428571,14.69237749,12.66848894,11.88983494
12.03921569,11.94920809,14.74994732,11.88983494
12.61133603,17.18381381,13.80663686,12
9.753968254,12.07858368,12.80444147,11.88983494
11.80566802,15.80721884,13.36793798,10.33878228
9.683333333,16.49595077,13.71815224,11.47761084
12.52380952,13.0272023,14.98627119,12
12.625,12.77626396,14.11643599,14.76790343
10.57894737,11.80172144,11.84125323,10.91789064
9.494117647,13.1794649,12.00611687,10.58790485
9.850202429,9.007305738,13.62283188,14.99430474
11.65079365,14.51553219,12.23280178,12.82831984
11.21052632,15.95496047,12.35210459,11.56723749
10.01666667,14.80850204,11.89185312,11.12294891
9.9004329,6.308681976,11.6096835,12
11.64285714,10.329731,13.83483643,13.01263917
11.4375,9.6,13.09151162,13.1355952
9.87854251,9.538279013,11.48952542,14.17958432
8.875,8.577749939,10.71188333,14.13823573
11.11666667,16.06534014,12.14174665,13.1920611
11.61111111,13.8951695,13.28065143,13.91643428
11.50793651,11.93363384,7.6,13.88607365
8.6,8.25699601,9.792610126,10.06666719
9.976190476,11.2399849,11.46584452,11.67826817
10.63492063,16.98269154,12.33558584,10.94052247
9.461538462,9.856152507,10.76874465,12.8741046
9.325396825,11.14588842,10.81360912,12.8741046
12.625,12.77626396,14.11643599,12.8741046
10.57894737,11.80172144,11.84125323,10.91789064
9.494117647,13.1794649,12.00611687,10.58790485
9.850202429,9.007305738,13.62283188,12.8741046
11.65079365,14.51553219,8.9,12.8741046
11.21052632,15.95496047,9.8,11.56723749
10.01666667,14.80850204,11.89185312,11.12294891
9.9004329,6.308681976,11.6096835,12
11.64285714,10.329731,11,12.5
11.4375,14.35392155,11,12.9
9.87854251,9.538279013,11.48952542,13
8.875,8.577749939,10.71188333,13
11.11666667,16.06534014,12.14174665,13.5
11.61111111,13.8951695,13.28065143,13.91643428
11.50793651,11.93363384,14.95390906,12.8741046
8.6,8.25699601,9.792610126,12.3
9.976190476,11.2399849,11.46584452,11.67826817
10.63492063,16.98269154,9.5,10.94052247
9.461538462,9.856152507,9,12.3
9.325396825,11.14588842,9,12.3
